ID	Phylum	Type
00a96fbd0ac34bfd245f9c24f8737f7d	p_Firmicutes	Commensal_microbes
0232b56c81bb04fb94bdcfdf8b073ae1	p_Bacteroidetes	Commensal_microbes
02df8598ac39f1ef54609afb19c8c450	p_Firmicutes	Potential_pathogens
052510a5ed0bc73052e812a6da0e9880	p_Bacteroidetes	Commensal_microbes
052ed87a5bce8789c20b59effda065d6	p_Firmicutes	Commensal_microbes
06f825b512d903b9230e1a55d87359ee	p_Firmicutes	Potential_pathogens
08a0cf376add32f3f4b57ec1e82a7a27	p_Firmicutes	Commensal_microbes
08bd43071a06abf56df235fca6655bea	p_Firmicutes	Commensal_microbes
09ba0dcc9d08747a09b3a4ec08c8d529	p_Firmicutes	Commensal_microbes
09f9294499192d4eecf29e85501cc425	p_Bacteroidetes	Commensal_microbes
0a21726cd4952a96635576553da67787	p_Bacteroidetes	Commensal_microbes
0a68ec564e278b0246c920ad7de41880	p_Firmicutes	Commensal_microbes
0a857f235b897d7c44e86f0c1b75c69b	p_Bacteroidetes	Commensal_microbes
0ab207b9089db29f14a89594023c2963	p_Bacteroidetes	Commensal_microbes
0b163e7e370cd0ff27a04ec8d856a58a	p_Firmicutes	Commensal_microbes
0c46b93beb2095bc899e1701b8364dbd	p_Bacteroidetes	Commensal_microbes
0c579d21280801f02a641e1608606927	p_Actinobacteria	Commensal_microbes
0df6c802966e8670279671824da4f10a	p_Firmicutes	Commensal_microbes
0e2d370f860f8262fe2d1fd778dd030f	p_Actinobacteria	Commensal_microbes
0ed3a6836e138f14044f6950ad7280d2	p_Actinobacteria	Potential_pathogens
0f31a57c7a452ee03b5f5bf4a2d960cf	p_Bacteroidetes	Potential_pathogens
0f9638d2552efe175d8e971e60bca94f	p_Bacteroidetes	Potential_pathogens
0fc1b4b38c76ff1d5614d73496426a3e	p_Actinobacteria	Commensal_microbes
134bcf72f243a6b77d97673e75b1564f	p_Bacteroidetes	Commensal_microbes
13c1b2a8c491cf3fba2fa50e45717450	p_Firmicutes	Commensal_microbes
14bebabdecdeb9efdd5809629e49451f	p_Firmicutes	Commensal_microbes
153a1c462f6c9cc86cb69c231e968272	p_Proteobacteria	Commensal_microbes
1601abe13540e0b21db9d29476137c31	p_Bacteroidetes	Potential_pathogens
1637345f45b90ef2aba65723fddc6151	p_Firmicutes	Potential_pathogens
1739d8f19c1ac366a2138b64b03047a9	p_Actinobacteria	Commensal_microbes
17ae20a577370dc92154c6b1f5b2a5aa	p_Fusobacteria	Commensal_microbes
1902045fa7900495d421b8a8f308eb85	p_Actinobacteria	Commensal_microbes
194ea72c6c961c998dc144e326b54709	p_Bacteroidetes	Commensal_microbes
195a6faf067d7e7afcefd42a76f1e1dc	p_Bacteroidetes	Commensal_microbes
19a779b06d85c489c23dcd3d3817226b	p_Firmicutes	Commensal_microbes
19da890972569b6859c360e9b4c8751e	p_Bacteroidetes	Commensal_microbes
1b51357852b0b814b4d9918c6f0ab762	p_Firmicutes	Potential_pathogens
1b8dec58597978264025b9eba656ffb5	p_Bacteroidetes	Commensal_microbes
1b98b00b0fc819488d76aa0c09d57bcc	p_Bacteroidetes	Potential_pathogens
1ee7bf98ab815301c3c3e7407cebfa65	p_Firmicutes	Commensal_microbes
